Year;Month;Day;PM25max;O3max;Death;Tmean;RH;OXmax
2000;12;23;19;33.4;5;-15.22345545;70.21683324;22.1232114467409
2000;12;24;20;31.2;4;-19.17642037;57.19953343;21.2007154213037
2000;12;25;7;36.8;1;-18.33002173;74.52209188;24.4220985691574
2000;12;26;2;35.6;4;-18.00620925;66.91761588;23.4634340222576
2000;12;27;5;34.4;3;-14.49185036;83.9541589;23.45826709062
2000;12;28;11;24.8;1;-9.793387147;66.91292724;18.0564387917329
2000;12;29;10;32.8;3;-6.463365414;72.85725433;23.3759936406995
2000;12;30;12;35.2;2;-6.19900652;81.27036152;23.2984896661367
2000;12;31;11;35.2;5;NA;NA;22.0254372019078
2001;1;1;6;31.2;9;-7.330487426;74.45887333;20.1748807631161
2001;1;2;8;28.6;8;-11.87573735;78.43507586;19.4280604133545
2001;1;3;21;23.6;8;-14.49192797;51.7591615;18.4383942766296
2001;1;4;23;24.2;4;-10.79602608;68.15749573;22.412559618442
2001;1;5;18;28;4;-16.56154921;43.65681882;19.7678855325914
2001;1;6;10;26.8;8;-8.040437752;76.38230488;14.9793322734499
2001;1;7;26;19.8;7;-8.68169823;68.90823114;16.2011128775835
2001;1;8;37;16.8;6;-12.16089724;57.62332334;17.587440381558
2001;1;9;27;24.2;5;-15.47035082;68.01553437;19.370826709062
2001;1;10;14;27;0;-15.86044707;62.83114488;19.9018282988871
2001;1;11;17;29;0;-13.54773362;56.8359225;21.7678855325914
2001;1;12;16;30;4;-15.0634896;61.98920593;18.7682829888712
2001;1;13;23;24;8;-14.2628842;45.31135619;22.4634340222575
2001;1;14;32;34;0;-9.750776156;62.28450324;25.8298887122417
2001;1;15;13;31.2;3;-13.75923626;53.99654304;20.5357710651828
2001;1;16;15;29;3;-8.022120459;74.71383605;21.587440381558
2001;1;17;22;28;5;-15.42968022;65.92335411;20.922893481717
2001;1;18;29;22.2;2;-17.32683949;33.96456402;18.6852146263911
2001;1;19;35;27;3;-10.01692021;54.65963802;21.5564387917329
2001;1;20;18;31.8;4;-18.4419435;48.70444419;18.9328298887122
2001;1;21;45;24.4;7;-19.18790748;50.51818935;24.3763910969793
2001;1;22;42;30.4;3;-18.75675256;42.24339587;22.4439586645469
2001;1;23;37;19.8;2;-11.66594225;45.23605442;13.4797297297297
2001;1;24;26;14.2;3;-5.189925489;72.9594144;18.8656597774245
2001;1;25;24;26.8;2;-11.98517541;70.94315618;19.1597774244833
2001;1;26;17;22.4;3;-12.87643589;48.04253783;24.2265500794913
2001;1;27;25;30;2;-7.808056504;61.99931433;23.7726550079491
2001;1;28;14;35.4;7;-13.46848805;61.94854893;22.7627186009539
