Year;Month;Day;PM25max;O3max;NO2max;Death;Tmean;Tmax;RH;OXmax
2000;7;25;25.5;49.93333333;41.33333333;26;21.61;29.27874432677761;56.26511922;24.5010839716722
2000;7;26;15.5;53.13333333;20.83333333;28;22.31;28.357286938981343;64.52010294;33.6788553259141
2000;7;27;11.25;36.93333333;26.25;40;20.32;23.74936964195663;78.89777383;37.129643011996
2000;7;28;15.25;29.8;36.33333333;27;21.77;26.719994957135654;70.37919044;25.6321722792311
2000;7;29;16.5;46.6;30.83333333;36;22.31;27.766137165910237;67.75733182;23.8470877294407
2000;7;30;25.5;42.26666667;24.91666667;36;22.49;28.16906202723147;66.6048503;32.2477236594884
2000;7;31;11;42.73333333;16.33333333;32;22.44;26.782022188603126;74.2364533;29.1334007804596
2000;8;1;7.5;22.86666667;16.33333333;30;20.46;23.042486132123045;84.56397657;31.1578262754733
2000;8;2;31;52.2;24;31;23.68;28.22970247100353;73.44826259;15.7944789709496
2000;8;3;22.75;39.93333333;25.25;35;22.12;26.346318709026725;74.92000213;40.3952305246423
2000;8;4;18.25;32.6;24.5;25;17.7;23.16855774079677;66.55614741;29.5217516982223
2000;8;5;14.25;34.8;28;31;19.14;25.46381744831064;62.44927611;24.2386182974418
2000;8;6;12.25;43.13333333;25.75;39;18.97;25.311649016641454;62.2921563;23.4503540974129
2000;8;7;23;39.73333333;31.16666667;30;20.91;25.089258698941;74.51776613;28.7220696632461
2000;8;8;18.25;31.53333333;26.91666667;27;21.55;25.694906707009583;75.25886831;27.1094088741148
2000;8;9;19;32.53333333;25.16666667;24;21.55;25.134518406454866;78.64956633;22.2892036421448
2000;8;10;13.75;30.21428571;28.09090909;27;21.64;27.29576399394856;66.54367816;24.8139904610493
2000;8;11;20.25;25.92307692;31.18181818;33;18.82;22.603252647503783;76.84690434;22.4028616852146
2000;8;12;13.5;35.86666667;21.5;23;20.64;26.13804841149773;67.56173053;18.5340222575517
2000;8;13;18;39.8;28;26;19.61;26.523575390821986;59.23108702;24.2169388639977
2000;8;14;28.75;44.6;52.41666667;26;20.44;26.740922844175493;63.09822156;26.0406995230525
2000;8;15;26.75;57;38.41666667;41;21.62;27.70032778618255;64.41832456;32.6841017488076
2000;8;16;13.75;37.42857143;22.5;30;20.23;24.24382249117499;75.75349875;40.0848966613673
2000;8;17;4.75;16.53333333;23.33333333;17;14.25;17.257186081694403;81.06649217;26.4356120826709
2000;8;18;12.5;28.73333333;34.91666667;37;15.76;22.0422339889057;62.46005362;13.3392108686226
2000;8;19;8.25;26.06666667;22;31;16.57;21.586359051941503;69.27365398;22.3904610492846
